code,user,repo,branch,stars,description
okfn-ckanext-oauth,okfn,ckanext-oauth,master,3,
BioplatformsAustralia-ckanext-bpatheme,BioplatformsAustralia,ckanext-bpatheme,master,3,CKAN theme for BPA
aliwaqas333-ckanext-kpodp_theme,aliwaqas333,ckanext-kpodp_theme,master,3,KP opendata portal ckanext theme. Site is up at http://opendata.kp.gov.pk
EnviDat-ckanext-envidat_schema,EnviDat,ckanext-envidat_schema,master,3,Implementation of the metadata schema for Envidat based on scheming and repeating extensions
datopian-ckanext-us_ed_theme,datopian,ckanext-us_ed_theme,master,3,Theming extension for US Dept. of Education portal
datopian-ckanext-vitalstrategies_shanghai,datopian,ckanext-vitalstrategies_shanghai,master,3,
cbgaindia-ckanext-openbudgetsin_theme,cbgaindia,ckanext-openbudgetsin_theme,master,3,Custom CKAN theme extension for Open Budgets India
GSA-ckanext-saml2,GSA,ckanext-saml2,datagov/v0.4.0,2,SAML2 Athentication extension
6aika-ckanext-rating,6aika,ckanext-rating,master,2,
datagovau-ckanext-cesiumpreview,datagovau,ckanext-cesiumpreview,master,2,A plugin to CKAN to use National Map as a previewer for data.gov.au.
datagovau-ckanext-agls,datagovau,ckanext-agls,master,2,AGLS metadata extension for CKAN
vrk-kpa-ckanext-ytp-comments,vrk-kpa,ckanext-ytp-comments,master,2,CKAN extension for adding comments to datasets
open-data-ckanext-recombinant,open-data,ckanext-recombinant,master,2,Create datastore tables for organizations and provide combined output
NaturalHistoryMuseum-ckanext-userdatasets,NaturalHistoryMuseum,ckanext-userdatasets,main,2,"A CKAN extension that allows organisation members to create datasets, and edit or delete the datasets they have created."
keitaroinc-ckanext-cas,keitaroinc,ckanext-cas,master,2,CAS (Central Authentication Service) client extension for CKAN
datagovsg-ckanext-s3-resources,datagovsg,ckanext-s3-resources,master,2,CKAN Extension to upload resources to AWS S3 https://data.gov.sg
datosgcba-ckanext-gcbaandinotheme,datosgcba,ckanext-gcbaandinotheme,master,2,Repositorio del theme visual de Andino para el portal de Datos Abiertos de la Ciudad Autónoma de Buenos Aires. http://data.buenosaires.gob.ar/
datagovau-ckanext-datagovau,datagovau,ckanext-datagovau,master,2,Site specific customisations for the hosting of data.gov.au.
CodeForAfrica-ckanext-notify,CodeForAfrica,ckanext-notify,master,2,[EXPERIMENTAL] CKAN extension to provide more options for notifications such as Slack notifications.
conwetlab-ckanext-wirecloud_view,conwetlab,ckanext-wirecloud_view,master,2,Provide visualization dashboards on CKAN using WireCloud
data-govt-nz-ckanext-dia_theme,data-govt-nz,ckanext-dia_theme,master,2,CKAN theme for the New Zealand open data portal - data.govt.nz
okfn-ckanext-hidegroups,okfn,ckanext-hidegroups,master,2,A CKAN 2 extension that removes CKAN's groups feature from the web interface
govro-ckanext-inventory,govro,ckanext-inventory,master,2,CKAN extension for receiving dataset inventories from organizations
ckan-ckanext-repo,ckan,ckanext-repo,master,2,Shows information about the CKAN and extensions versions an instance is running. Mostly useful for development sites.
vrk-kpa-ckanext-ytp-request,vrk-kpa,ckanext-ytp-request,master,2,Organization member request handling
okfn-ckanext-socrata,okfn,ckanext-socrata,master,2,CKAN harvester extension for Socrata data catalogs
datopian-ckanext-dundee,datopian,ckanext-dundee,master,2,Theming extension for Dundee city
datalocale-ckanext-datalocale,datalocale,ckanext-datalocale,master,2,extension CKAN développée pour le projet http://catalogue.datalocale.fr
ckan-ckanext-persona,ckan,ckanext-persona,master,2,A CKAN extension for logging in using Mozilla Persona
qld-gov-au-ckanext-s3filestore,qld-gov-au,ckanext-s3filestore,master,2,Use Amazon S3 as a filestore for CKAN
PopulateTools-ckanext-topics,PopulateTools,ckanext-topics,master,2,Topics and subtopics for classifying datasets in CKAN
jorabra-ckanext-simplesso,jorabra,ckanext-simplesso,master,2,A simple CKAN SSO plugin
shidax-ckanext_notification,shidax,ckanext_notification,master,2,An example of CKAN extension. Notify new resource via the twitter
